_section,_species,_page,Areas Of Production,Areas for optimal production,Areas of Production,Areas of production,Biomass Yield(t/h a),Cane yield (t ha-1),Durat ion to matu rity (mon ths),Duratio n to maturit y (month s),Duratio n to maturit y (years),Duration to maturity ( days),Duration to maturity (days),Duration to maturity (months),Duration to maturity (months/day s),Duration to peak production (months),Economic production life (years),Flower yield (t ha-1 y-1),Fruit yield (kg tree-1 y-1),Grai n yiel d (t ha- 1),Grai n yiel d (t ha-1 ),Grain (G) and/or Forage(F ) yield (t ha-1 ),Grain yield (t ha- 1 ),Grain yield (t ha-1 ),Grain yield (t ha-1),Grain yield (t/ha),Grain yield(t ha-1 ),Grain yield(t/ ha),Green tea leaf yield (t ha-1 y- 1),Leaf Yield (t ha- 1),Lint yiel d (t ha- 1 ),Mainta iner and source,Maintai ner and seed source,Maintain er,Maintain er And Source,Maintain er and seed source,Maintain er and seedling source,Maintain er and source,Maintaine r,Maintaine r and Source,Maintaine r and seed source,Maintaine r and seedling source,Maintaine r and source,Maintainer,Maintainer and seed source,Maintainer and seedling source,Maintainer and source,Matu rity durat ion,Maturi ty duratio n,Maturi ty duratio n(mont hs),Maturit y duratio n(mont hs),Maturity Duration,Maturity Duration (months),Maturity duration,Maturity duration (years),Maturity duration( months),Maturity duration(mo nths),Maturity duration(months),Offici al Rele ase Nam e,Official Releas e Name,Official Release Name,Official Release name,Official Variety Name,Official Variety Release Name,Official release name,Official variety release Name,Official variety release name,Optimal producti on altitude range (Masl),Optimal productio n altitude range (Masl),Optimal production altitude (Masl),Optimal production altitude (masl),Optimal production altitude range (Masl),Optimal production altitude range (masl),Owne r(s),Owner (s) / Licensee,Owner( s),Owner( s) / License e,Owner( s) license e,Owner(S) Licensee,Owner(s ) / Licensee,Owner(s),Owner(s) / Licensee,Owner(s) / licensee,Owner(s) Licensee,Owner(s) licensee,Relea se name,Releas e Name,Releas e name,Release Name,Release name,Root yield (tha- 1 y-1),Root yield (tha-1 y- 1),Root yield (tha-1 y-1),Seed yield( t ha- 1),Special Attributes,Special attributes,Time to 50% flowering at 2551 m a s l (months),Tuber yield (t ha- 1),Tuber yield (t ha-1),Variety Code / Name,Variety Name,Variety Name/C ode,Variety Testing name/Co de,Variety name,Variety name/ Code,Variety name/ variety code,Variety name/cod e,Variety name/code,Variety testing name/c ode,Variety testing name/cod e,Year Of Release,Year of Releas e in kenya,Year of rele ase,Year of relea se,Year of releas e,Year of releas e in Kenya,Year of release,Year of release in Kenya,Year of release in kenya,Yiel d(t/ ha),Yield,Yield (T/Ha ),Yield (t/ha),Yield (t/ha) per tree,Yield( t/ha),Yield(t /ha),Yield(t/ ha),release name
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",166,,,,,,,,3-4,,,,,,,,,,,,,,,3.3 -7.0,,,,,,,,,,,,,,,,KARI,,,,,,,,,,,,,,,,,,,,Kenya Yombi,,,,,,,,,,,1800-2100,,,,,,,,,,KARI,,,,,,,,,,,,,, High yielding,,,,,,,,,,,14. Kenya Yomb i,,,,,,,,,1999,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",166,,,,,,,,3-4,,,,,,,,,,,,,,,2.0-5.6,,,,,,,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,KS Mwamba,,,,,,,,,,,1500-2400,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,, Wide adaptation  High yield,,,,,,,,,,,15. KS Mwa mba,,,,,,,,,2001,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",167,,,,,,,,3-4,,,,,,,,,,,,,,,2.2-4.7,,,,,,,,,,,,,,,,KARI,,,,,,,,,,,,,,,,,,,,Njoro BW1,,,,,,,,,,,1800-2400,,,,,,,,,,KARI,,,,,,,,,,,,,,,,,,,,,,,,,16. Njoro BW1, Drought tolerant  High protein content,,,,,,,,2001,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",167,,,,,,,,3-4,,,,,,,,,,,,,,,3.7-8.0,,,,,,,,,,,,,,,,KARI Njoro,,,,,,,,,,,,,,,,,,,,Njoro BW2,,,,,,,,,,,1800-2400,,,,,,,,,,KARI,,,,,,,,,,,,,,,,,,,,,,,,,17. Njoro BW2, Tolerant to acid soil  Resistant to lodging,,,,,,,,2001,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",167,,,,,,,,3-4,,,,,,,,,,,,,,,2.5-5.0,,,,,,,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,KS Simba,,,,,,,,,,,1500-2400,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,,,,,,18. KS Simba, Suitable for both marginal and high potential areas  Good baking quality,,,,,,,,2007,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",167,,,,,,,,4,,,,,,,,,,,,,,,2.5-5.0,,,,,,,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,Farasi,,,,,,,,,,,1800-2400,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,,,,,,19. Farasi, Resistant to most foliar diseases  Good baking quality,,,,,,,,2007,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",167,,,,,,,,3.5 - 4.0,,,,,,,,,,,,,,,6-Mar,,,,,,,,,,,,,,,,KARI Njoro,,,,,,,,,,,,,,,,,,,,Kenya Ibis,,,,,,,,,,,1500-1800,,,,,,,,,,KARI,,,,,,,,,,,,,,,,,,,,,,,,,20. Kenya Ibis, Drought tolerant  Tolerant to stem rust  Good baking qualities,,,,,,,,2008,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",167,,,,,,,,4,,,,,,,,,,,,,,,1.5 - 3.0,,,,,,,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,KS-Chui,,,,,,,,,,,1800-2400,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,,,,,,21. KS- Chui, Adapted to high potential and marginal areas  Good tolerance to foliar diseases,,,,,,,,2008,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",167,,,,,,,,3.5,,,,,,,,,,,,,,,7.0-8.0,,,,,,,,,,,,,,,,KARI- NJORO,,,,,,,,,,,,,,,,,,,,Kenya Robin,,,,,,,,,,,1800- 2700m,,,,,,,,,,KARI,,,,,,,,,,,,,,,,,,,,,,,,,22. KSRR 2," Bred for adult plant resistance to stem rust (Ug99 strain)  Early maturing and widely adopted  Does well in low to high altitude (lower Narok, Timau and Mau Narok  Large grains with a test weight of 48g/1000kennels  High protein content (12.5) and good milling and baking qualities",,,,,,,,2011,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",168,,,,,,,,3.5,,,,,,,,,,,,,,,6.0-7.0,,,,,,,,,,,,,,,,KARI- NJORO,,,,,,,,,,,,,,,,,,,,Eagle 10,,,,,,,,,,,1800.2100 m,,,,,,,,,,KARI,,,,,,,,,,,,,," Good resistance to stem rust (Ug99 strain)  Very early maturing hence suitable for drought prone areas like Mweiga, lower Narok and Rongai  Long grained with high protein content of 13%  Very good baking quality",,,,,,,,,,,23. KSRR 4,,,,,,,,,2011,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",168,,,,,,,,4-5,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,KARI-Njoro,,,,,,,,,,,,,,,,,,,,Kenya Hawk12,,,,,,,,,,,2100-2400,,,,,,,,,,KARI,,,,,,,,,,,,,, Red hard grain with resistance to both lodging and sprout  High test weight and baking qualities  May be good for areas that receive rain during harvesting like Mau Narok and Timau  Resistant to both stem rust and yellow rust,,,,,,,,,,,24. KSRR 10,,,,,,,,,2012,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",168,,,,,,,,3-4,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,KARI-Njoro,,,,,,,,,,,,,,,,,,,,Kenya Tae,,,,,,,,,,,1800-2100,,,,,,,,,,KARI,,,,,,,,,,,,,, Resistant to both stem rust and yellow rust  Red hard grain with heavy biomass  May be well adopted by farmers who use straw for livestock feed.,,,,,,,,,,,25. KSRR 5,,,,,,,,,2012,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",168,,,,,,,,3-4,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,KARI-Njoro,,,,,,,,,,,,,,,,,,,,Kenya Sunbird,,,,,,,,,,,1800-2100,,,,,,,,,,KARI,,,,,,,,,,,,,, Resistance to both yellow and stem rust  High biomass  High protein content  Suitable for whole grain chapatis and baking.,,,,,,,,,,,26. KSRR 6,,,,,,,,,2012,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",169,,,,,,,,4-5,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,KARI-Njoro,,,,,,,,,,,,,,,,,,,,Kenya Wren,,,,,,,,,,,2100-2400,,,,,,,,,,KARI,,,,,,,,,,,,,," Has adult plant resistance to both yellow and stem rust diseases  Large red hard grain with excellent flour conversion  High protein content, good for home baking and chapattis  Tolerant to acidic soils",,,,,,,,,,,27. KSRR 7,,,,,,,,,2012,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",169,,,,,,,,3-4,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,KARI-Njoro,,,,,,,,,,,,,,,,,,,,Kenya Korongo,,,,,,,,,,,Below 1800,,,,,,,,,,KARI,,,,,,,,,,,,,, White hard grain  Very high flour conversion with good baking qualities  Recommended for dry areas like Rongai and Naivasha,,,,,,,,,,,28. KSRR 8,,,,,,,,,2012,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",169,,,,,,,,3-4,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,KARI-Njoro,,,,,,,,,,,,,,,,,,,,Kenya Kingbird,,,,,,,,,,,Below 1800,,,,,,,,,,KARI,,,,,,,,,,,,,, Developed for Adult plant resistance to both stem rust and yellow rus  A good parent in breeding especially for rust diseases  White grain with very high test weight and flour conversion,,,,,,,,,,,29. KSRR 11,,,,,,,,,2012,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",169,,,,,,,,3-4.5,,,,,,,,,,,,,,,1.8-3.8,,,,,,,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,KS-Kanga,,,,,,,,,,,"1800-2500 Narok, Nanyuki, Uasin Gishu, Njoro",,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,," Tolerant to glume blotch, ear-rot, stem rust  Good tillering ability  Good baking quality  Slow rusting",,,,,,,,,,,30. 09B4,,,,,,,,,2013,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",169,,,,,,,,3-4,,,,,,,,,,,,,,,1.8-3.5,,,,,,,,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,,,,,,,,KS-Nyota,,,,,,,,,,,"1800-2500 m.a.s.l - Narok, Rumuruti, Rongai, Lanet, Uasin Gishu",,,,,,,,,,Kenya Seed Co.,,,,,,,,,,,,,, High yield  Good tilling ability  72.35 extraction test  Medium sprouting  Stable dough,,,,,,,,,,,31. 08B4 2,,,,,,,,,2013,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",170,,,,,,,,3-5,,,,,,,,,,,,,,,3.2- 4.5,,,,,,,,,,,,,,,,University of Eldoret,,,,,,,,,,,,,,,,,,,,Eldo Baraka,,,,,,,,,,,1500-2700 And as rotation crop in bimodal rainfall areas,,,,,,,,,,University of Eldoret,,,,,,,,,,,,,, Resistant to stem rust of wheat Ug99  Moderately Drought tolerant  Medium maturing  Erect and non lodging suitable for combine harvesting  Tolerant to Fusarium wilt and high acidity  Red seeded,,,,,,,,,,,32. CHEP BW2,,,,,,,,,2014,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",170,,,,,,,,4-5,,,,,,,,,,,,,,,4.5-5.5,,,,,,,,,,,,,,,,University of Eldoret,,,,,,,,,,,,,,,,,,,,Eldo Mavuno,,,,,,,,,,,"Medium to high rainfall ,areas such as Eldoret, Kitale, Nakuru and Narok.",,,,,,,,,,University of Eldoret,,,,,,,,,,,,,, Stem rust resistant  Good baking quality  High gluten  Resistant to lodging,,,,,,,,,,,33. CHEP BW4,,,,,,,,,2014,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",170,,,,,,,,3-4,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,KALRO Njoro,,,,,,,,,,,,,,,,,,,,Kenya Hornbill,,,,,,,,,,,"1800 – 2100 MASL Examples of optimal growing areas: Njoro, Rongai, Endebees, Kinamba, Moiben",,,,,,,,,,KALRO,,,,,,,,,,,,,, White hard grain  high grain protein content  Good for home baking (e.g. Chapatis)  High adult plant resistance to yellow rust and moderate resistance to stem rust  Tolerant to soil acidity,,,,,,,,,,,34. R123 8,,,,,,,,,2016,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",170,,,,,,,,3-4,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,KALRO Njoro,,,,,,,,,,,,,,,,,,,,Kenya Deer,,,,,,,,,,,"Below 1800 MASL Examples of optimal growing areas: Lower Narok, Lanet, Naivasha",,,,,,,,,,KALRO,,,,,,,,,,,,,, White hard grain  Good for home baking (e.g. Chapatis)  High adult plant resistance to stem and yellow rusts  Early maturity,,,,,,,,,,,35. R124 4,,,,,,,,,2016,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",170,,,,,,,,3-4,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,KALRO Njoro,,,,,,,,,,,,,,,,,,,,Kenya Weaverbi rd,,,,,,,,,,,1800 – 2100 MASL Examples of optimal,,,,,,,,,,KALRO,,,,,,,,,,,,,, Amber –to – red colored hard grain  Good bread making quality,,,,,,,,,,,36. R127 1,,,,,,,,,2016,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",171,,,,,,,,4-5,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,KALRO Njoro,,,,,,,,,,,,,,,,,,,,Kenya Peacock,,,,,,,,,,,"2100 – 2400 MASL Examples of optimal growing areas: Mau Narok, Timau",,,,,,,,,,KALRO,,,,,,,,,,,,,, Amber –to – red colored hard grain  High grain protein  Excellent bread making quality  High Adult Plant Resistance to both Stem and Yellow Rusts,,,,,,,,,,,37. R128 6,,,,,,,,,2016,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",171,,,,,,,,3-4,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,KALRO Njoro,,,,,,,,,,,,,,,,,,,,Kenya Falcon,,,,,,,,,,,"2100 – 2400 MASL Examples of optimal growing areas: Mau Narok, Timau",,,,,,,,,,KALRO,,,,,,,,,,,,,," Red colored hard grain  Good bread making quality  Excellent seedling and adult plant resistance to stem rust  Highly resistant to yellow rust  Long, well filled spikes  Medium Maturity",,,,,,,,,,,38. R130 1,,,,,,,,,2016,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",171,,,,,,,,3-4,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,KALRO Njoro,,,,,,,,,,,,,,,,,,,,Kenya Songbird,,,,,,,,,,,"1800 – 2100 MASL Examples of optimal growing areas: Njoro, Rongai, Endebees, Kinamba, Upper Narok",,,,,,,,,,KALRO,,,,,,,,,,,,,, Amber –to – red colored hard grain  High grain protein  Good bread making quality  Moderate Adult Plant Resistance to both Stem and yellow rusts  Medium maturity,,,,,,,,,,,39. R130 2,,,,,,,,,2016,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",172,,,,,,,,4-5,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,KALRO Njoro,,,,,,,,,,,,,,,,,,,,Kenya Pelican,,,,,,,,,,,"2100 – 2400 MASL Examples of optimal growing areas: Mau Narok, Timau",,,,,,,,,,KALRO,,,,,,,,,,,,,, Red colored hard grain; good bread making quality  High adult plant resistance to stem and yellow rusts,,,,,,,,,,,40. R130 5,,,,,,,,,2016,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",172,,,,,,,,3-4,,,,,,,,,,,,,,,3.85,,,,,,,,,,,,,,,,KSCo,,,,,,,,,,,,,,,,,,,,KS Wheat 04,,,,,,,,,,,"1800 - 2500 m.a.s.l. (Timau, Narok, Nanyuki, Nakuru, Uasin Gishu, Trans Nzoia)",,,,,,,,,,KSCo,,,,,,,,,,,,,, Spring type; >7 Tillers per plant hence good tillering ability  Average height 90cm  Good stem rust resistance 2/5 (APR to Sr & Yr)  Rred-coloured hard grains  Good milling and for bread baking (i.e. whole grain bread)  Resistant to lodging,,,,,,,,,,,41. 013B 31,,,,,,,,,2018,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",172,,,,,,,,"3-4, (Mediu m)",,,,,,,,,,,,,,,7.0 – 8.0,,,,,,,,,,,,,,,,KALRO- NJORO,,,,,,,,,,,,,,,,,,,,Kenya Kasuku,,,,,,,,,,,"Altitude:800 – 2400 masl AEZ: LH2, LH3, UH2, UH3 Examples: Njoro, Mau- Narok, Upper Narok, Timau, Oljororok, Kinamba, Moiben",,,,,,,,,,KALRO,,,,,,,,,,,,,," Red hard grain  Good milling and baking qualities  Moderately resistant to original Ug99 races  In warmer weather, susceptible to “isolate TTKTT” and integrated management will be required  Long well filled spikes  Semi dwarf; resistant to lodging",,,,,,,,,,,42. R1494,,,,,,,,,2019,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",172,,,,,,,,3- 5(Medi um- slightly late),,,,,,,,,,,,,,,6.5 - 8.0,,,,,,,,,,,,,,,,KALRO- NJORO,,,,,,,,,,,,,,,,,,,,Kenya Jacana,,,,,,,,,,,"Altitude:80 0 – 2400 masl AEZ: LH2, LH3, UH2, UH3 Examples: Njoro, Mau- Narok, Upper",,,,,,,,,,KALRO,,,,,,,,,,,,,," Red hard grain  Good milling and baking qualities  Moderately resistant to original Ug99 races  In warmer weather, susceptible to “isolate TTKTT” and integrated",,,,,,,,,,,43. R1495,,,,,,,,,2019,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",173,,,,,,,,3-4 (Early),,,,,,,,,,,,,,,7.0 – 8.0,,,,,,,,,,,,,,,,KALRO- NJORO,,,,,,,,,,,,,,,,,,,,Kenya Impala Impala,,,,,,,,,,,"Altitude: 1800 -2400 masl AEZ: LH2, LH3, UH2, UH3 Example of Sites: Njoro, Moiben, Lower Narok, Timau, Oljororok)",,,,,,,,,,KALRO,,,,,,,,,,,,,, White Hard Grain  Good milling and baking qualities  Resistant to yellow rust  Moderate to high resistance to stem rust subject to seasonal disease pressure  Resistant to lodging  Well filled and closed spikes,,,,,,,,,,,44. R1573,,,,,,,,,2020,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",173,,,,,,,,3- 4(Slight ly Early- Mediu m),,,,,,,,,,,,,,,6.5 - 7.5,,,,,,,,,,,,,,,,KALRO- NJORO,,,,,,,,,,,,,,,,,,,,Kenya Hyrax,,,,,,,,,,,"Altitude: 1800 -2400 masl AEZ: LH2, LH3, UH2, UH3 Example of Sites: Njoro, Moiben, Narok, Timau, Oljororok)",,,,,,,,,,KALRO,,,,,,,,,,,,,, Red Hard Grain  Good milling and baking qualities  Resistant to yellow rust  Moderate to high resistance to stem rust subject to seasonal disease pressure  High tillering ability,,,,,,,,,,,45. R1575,,,,,,,,,2020,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",173,,,,,,,,3- 4(Ealy),,,,,,,,,,,,,,,6.5-7.5,,,,,,,,,,,,,,,,KALRO NJORO,,,,,,,,,,,,,,,,,,,,Kenya Pweza,,,,,,,,,,,"Altitude: 1800-2400 m.a.s.l AEZ: LH2, LH3, UH2, UH3 Site: Njoro,Moib en,Lower Narok, Kinamba, Oljororok",,,,,,,,,,KALRO,,,,,,,,,,,,,," Red hard grain  Early maturity, Moderate resistance to “Ug99” races of stem rust  High tillering ability  Good milling and baking qualities  Semi dwarf ; tolerant to lodging",,,,,,,,,,,46. R1585,,,,,,,,,2021,,,,,,,,,,,,
WHEAT,"Triticum aestivum L.
Variety Official Year Owner",173,,,,,,,,3-4 (Mediu m),,,,,,,,,,,,,,,6.0-8.0,,,,,,,,,,,,,,,,KALRO Njoro,,,,,,,,,,,,,,,,,,,,Kenya Turaco,,,,,,,,,,,Altitude: 1800-2400 m.a.s.l AEZ:,,,,,,,,,,KALRO,,,,,,,,,,,,,, White Hard Grain  Medium maturity,,,,,,,,,,,47. R1601,,,,,,,,,2021,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",174,,,,,,,,,,,,2-3,,,,,,,,,,,,,1.2-1.5,,,,,,,,,,,,,,,,,,KARI/KSC,,,,,,,,,,,,,,,,,,,,,,,,,,,900-1600,,,,,,,,,KARI/KSC,,,,,,,,,,,,,,, Drought tolerant,,,,,,,,,,,,1. Mwitemani a (GLP 92),,,,,,,1982,,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",174,,,,,,,,,,,,2-3,,,,,,,,,,,,,1.8 - 2,,,,,,,,,,,,,,,,,,KARI/KSC,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-2000,,,,,,,,,KARI/KSC,,,,,,,,,,,,,,, High yield  Wide adaptation  Attractive seed colour Good taste,,,,,,,,,,,,2. Rosecoco (GLP 2),,,,,,,1982,,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",174,,,,,,,,,,,,2-3,,,,,,,,,,,,,1.2 - 1.5,,,,,,,,,,,,,,,,,,KARI/KSC,,,,,,,,,,,,,,,,,,,,,,,,,,,1200-1600,,,,,,,,,KARI/KSC,,,,,,,,,,,,,,, Good performance in dry areas  Early maturity  Tolerant to drought and bean fly,,,,,,,,,,,,3. Mwezi Moja (GLP1004),,,,,,,1982,,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",174,,,,,,,,,,,,3 - 3.5,,,,,,,,,,,,,1.3 - 1.8,,,,,,,,,,,,,,,,,,KARI/KSC,,,,,,,,,,,,,,,,,,,,,,,,,,,1200-1800,,,,,,,,,KARI/KSC,,,,,,,,,,,,,,, Moderately resistant to angular leaf spot,,,,,,,,,,,,4. Canadian Wonder (GLP-24),,,,,,,1982,,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",174,,,,,,,,,,,,3 - 3.5,,,,,,,,,,,,,1.2 - 1.7,,,,,,,,,,,,,,,,,,KARI/KSC,,,,,,,,,,,,,,,,,,,,,,,,,,,100-1500,,,,,,,,,KARI/KSC,,,,,,,,,,,,,,, Wide adaptation  Resistant to halo blight,,,,,,,,,,,,5. GLP-92 Pinto bean,,,,,,,1982,,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",174,,,,,,,,,,,,2.5 - 3,,,,,,,,,,,,,1 - 1.5,,,,,,,,,,,,,,,,,,KARI,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-2000,,,,,,,,,KARI,,,,,,,,,,,,,,, Suitable for high rainfall areas  Resistant to bean common mosaic virus,,,,,,,,,,,,6. GLP-585 Red haricot,,,,,,,1982,,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",174,,,,,,,,,,,,2.5 - 3,,,,,,,,,,,,,1 - 1.5,,,,,,,,,,,,,,,,,,KARI/KSC,,,,,,,,,,,,,,,,,,,,,,,,,,,1000-1500,,,,,,,,,KARI/KSC,,,,,,,,,,,,,,, Wide adaptation  Resistant to bean common mosaic virus  Tolerant to rust.,,,,,,,,,,,,7. GLP-X 1127 New Mwezi Moja,,,,,,,1982,,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",175,,,,,,,,,,,,2-3,,,,,,,,,,,,,1-1.2,,,,,,,,,,,,,,,,,,KARI- Katumani,,,,,,,,,,,,,,,,,,,,,,,,,,,1200-1800,,,,,,,,,KARI,,,,,,,,,,,,,,, Tolerant to shading,,,,,,,,,,,,8. Kat/Bean 2,,,,,,,1987,,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",175,,,,,,,,,,,,2-3,,,,,,,,,,,,,1.5-1.8,,,,,,,,,,,,,,,,,,KARI- Katumani,,,,,,,,,,,,,,,,,,,,,,,,,,,900-1600,,,,,,,,,KARI,,,,,,,,,,,,,,, High yielding,,,,,,,,,,,,9. Kat X 16,,,,,,,1994,,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",175,,,,,,,,,,,,2.5-3,,,,,,,,,,,,,1.5-1.8,,,,,,,,,,,,,,,,,,KARI- Katumani,,,,,,,,,,,,,,,,,,,,,,,,,,,900-1800,,,,,,,,,KARI,,,,,,,,,,,,,,, High yielding,,,,,,,,,,,,10. Kat X56,,,,,,,1995,,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",175,,,,,,,,,,,,2-3,,,,,,,,,,,,,1.5-1.8,,,,,,,,,,,,,,,,,,KARI- Katumani,,,,,,,,,,,,,,,,,,,,,,,,,,,1200-1800,,,,,,,,,KARI,,,,,,,,,,,,,,, High yielding,,,,,,,,,,,,11. Kat X 69,,,,,,,1995,,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",175,,,,,,,,,,,,2.5 - 3,,,,,,,,,,,,,1.8-2,,,,,,,,,,,,,,,,,,KARI- Kakamega,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-1800,,,,,,,,,KARI,,,,,,,,,,,,,,, Tolerant to root rot,,,,,,,,,,,,12. KK 22 (RWR 719),,,,,,,1996,,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",175,,,,,,,,,,,,2.5,,,,,,,,,,,,,1.2-1.5,,,,,,,,,,,,,,,,,,KARI- Katumani,,,,,,,,,,,,,,,,,,,,,,,,,,,1000-1800,,,,,,,,,KARI,,,,,,,,,,,,,,, Early maturity,,,,,,,,,,,,13. Kat/Bean 1 (Katheka),,,,,,,1987,,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",175,,,,,,,,,,,,2.5 - 3,,,,,,,,,,,,,1.8-2,,,,,,,,,,,,,,,,,,KARI- Kakamega,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-1800,,,,,,,,,KARI,,,,,,,,,,,,,,, Tolerant to root rot,,,,,,,,,,,,14. KK 8 (SCAM- 80/15),,,,,,,1997,,,,,,,,,,,,,
COMMON BEAN,"Phaseolus vulgaris L.
Variety Year Owner",175,,,,,,,,,,,,2.5 - 3,,,,,,,,,,,,,1.8-2,,,,,,,,,,,,,,,,,,KARI- Kakamega,,,,,,,,,,,,,,,,,,,,,,,,,,,1500-1800,,,,,,,,,KARI,,,,,,,,,,,,,,, Tolerant to root rot,,,,,,,,,,,,15. KK 15 (MLB 49/879),,,,,,,1997,,,,,,,,,,,,,
