Crop_Name,S/N,Variety Name,Original Name,National Code,Origin/Source,Developing Institute,Collaborating Institute,Breeder/ Collaborating Scientists,Outstanding Characteristics/ Potential Yields,Agro- Ecological Zones,Year of Release,Year of Registry,_page
Rubber,516,NIG-808,RRINC-143,NGHB-00-5,Nigeria,RRIN Benin City,,"Omokhafe, K, Aghughu, O., Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones.,Rainforest Savanna,1980,2000,59
Rubber,517,NIG-809,RRINC-150,NGHB-00-6,Nigeria,RRIN Benin City,,"Omokhafe, K, Aghughu, O., Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones.,Rainforest Savanna,1980,2000,59
Rubber,518,NIG-810,RRINC-159,NGHB-00-7,Nigeria,RRIN Benin City,,"Omokhafe, K, Aghughu, O., Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones.,Rainforest Savanna,1980,2000,59
Rubber,519,NIG-811,RRINC-154,NGHB-00-8,Nigeria,RRIN Benin City,,"Omokhafe, K, Aghughu, O., Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones.,Rainforest Savanna,1980,2000,59
Rubber,520,NIG-812,RRINC-162,NGHB-00-9,Nigeria,RRIN Benin City,,"Omokhafe, K, Aghughu, O., Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones.,Rainforest Savanna,1980,2000,59
Rubber,521,NIG-813,RRINC-202,NGHB-00-10,Nigeria,RRIN Benin City,,"Omokhafe, K, Aghughu, O., Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones.,Rainforest Savanna,1980,2000,59
Rubber,522,NIG-802,RRINC-114,NGHB-08-11,Nigeria,RRIN Benin City,,"Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones. (1.7-2t/ha),Rainforest Savanna,1980,2008,60
Rubber,523,NIG-803,RRINC-48,NGHB-08-12,Nigeria,RRIN Benin City,,"Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones.,Rainforest Savanna,2004,2008,60
Rubber,524,NIG-804,RRINC-1,NGHB-08-13,Nigeria,RRIN Benin City,,"Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones. (2.2-3.2t/ha),Rainforest Savanna,1980,2008,60
Rubber,525,NIG-805,RRINC-15,NGHB-08-14,Nigeria,RRIN Benin City,,"Olapade, E.O., Alika, J.E., Mekako, H.U., Onokpise, O. and Tappan, W.G.",High late yield of 2300- 2800 kg/ha/year compared to yield of 300- 400kg/ha/ year obtainable in local cultivar and upper limit of 1600kg/ha/year in exotic clones. (1.4-1.9t/ha),Rainforest Savanna,1980,2008,60
Sesame,526,NCRIBEN-03L,GOZA-25,NGSI-01-1,SUDAN,"NCRI, Badeggi",,G.A. IWO,"Drought tolerant, good seed quality. (500- 550kg/ha)",Savanna Ecology,2001,2001,60
Sesame,527,NCRIBEN-01M,530 - 6 -1,NGSI-01-2,INDIA,"IAR, Samaru, Zaria, NCRI, Badeggi",,"I.O. Leleji, A.A. Zaria, D.K. Adedzwa, S.O. Olafare & G.A. Iwo",Attractive seed color and medium maturity. (600- 750kg/ha),Savanna Ecology,2001,2001,60
