Name of Variety,National Code,Origin/ Source,Breeder (s)/ Institution,Applicant,Distinctness Uniformity and Stability (DUS),Value for Cultivation and Use (VCU),Preferred Ecology,Pedigree/ Line,Year of Release,Year of Registry,_crop_section,_crop_latin,_page
Golden Crystal,GH/Zm/001/15,CSIR-CRI/ CIMMYT,M. K. Akposoe,CSIR-Crops Research Institute,It is yellow dent/flint. It has a maturity period ranging from 105-110 days,Suitable for poultry and livestock feed,All agro- ecologies in Ghana,OPV,1972,2015,COTTON,Gossypium hirsutum 81,10
Mamaba,GH/Zm/003/15,CSIR-CRI/ CIMMYT,"S.Twumasi-Afriyie, P.Y.K. Sallah, B.Badu-Apraku, K. Obeng-Antwi, K. Ahenkora, E.A Asiedu, P.P Frimpong-Manso, O. Yeboah, S. Apau, A. Mensah-Ansah; W. Haag, B.D. Dzah, CSIR-CRI",CSIR-Crops Research Institute,Type of variety: three way cross hybrid; Maturity: 110 days; Potential yield (tons/ ha): 6.5; Seed colour: White; Days to 50% silk: 51; Plant height (cm): 187; Ear height (cm): 89; Tassel colour: Cream with purple shade; Tassel arrangement: mid-open and alternate; Silk colour: purple; Stem colour: Green; Cob length (cm): 18.9; Cob diameter (cm): 4.5; Kernel depth (cm): 1.2; Kernel arrangement: straight; Kernel type: Flint,QPM. Excellent for enhanced nutrition and health of humans; Drought tolerant,All agro- ecologies in Ghana,Hybrid,1997,2015,COTTON,Gossypium hirsutum 81,10
Cida-ba,GH/Zm/005/15,CSIR-CRI/ CIMMYT,"S.Twumasi-Afriyie, P.Y.K. Sallah, B.Badu-Apraku, K. Obeng-Antwi, K Ahenkora, E.A Asiedu, P.P Frimpong-Manso, O. Yeboah, S. Apau, A. Mensah-Ansah, W. Haag, K. Boa Amponsem, K. Ahenkora, A. Agyemang, E.K. Lampoh, B.D. Dzah, CSIR-CRI",CSIR-Crops Research Institute,Type of variety: three way cross hybrid; Maturity: 110 days; Potential yield (tons/ha): 6.5; Seed colour: White; Days to 50% silk: 54; Plant height (cm): 182; Ear height (cm): 80; Tassel colour: Cream purple; Tassel arrangement: very compact and alternate; Silk colour: purple; Stem colour: Green; Cob length (cm): 16.6; Cob diameter (cm): 4.5; Kernel arrangement: straight; Kernel type: Flint,QPM. Excellent for enhanced nutrition and health of humans,All agro- ecologies in Ghana,Hybrid,1997,2015,COTTON,Gossypium hirsutum 81,10
Dodzi,GH/Zm/006/15,CSIR-CRI/ IITA,"S.Twumasi-Afriyie, P.Y.K. Sallah, B.Badu-Apraku, K. Obeng-Antwi, K Ahenkora, E.A Asiedu, P.P Frimpong-Manso, O. Yeboah, S. Apau, A. Mensah-Ansah, W. Haag, K. Boa Amponsem, K. Ahenkora, A. Agyemang, E.K. Lampoh, B.D. Dzah, CSIR-CRI",CSIR-Crops Research Institute,Type of variety: open pollinated; Maturity: 85 days; Potential yield: 3.3 t/ha; Seed colour: white; Days to 50% silk: 48; Plant height (cm): 150; Ear height:68; Tassel colour: cream purple; Tassel arrangement: open and alternate; Silk colour: cream purple; Stem colour: green with purple shade; Cob length (cm): 14.1; Cob diameter (cm): 4.1; Kernel depth (cm): 1.1; Kernel arrangement: straight; Kernel type: Flint/dent,Useful to break hunger gap before main harvest,Guinea and Sudan Savannah,OPV,1997,2015,COTTON,Gossypium hirsutum 81,11
CSIR-Aziga,GH/Zm/008/15,CSIR-CRI/ CIMMYT,"M.B. Ewool, P.Y.K Sallah, K. Obeng- Antwi; CSIR-CRI; M.S. Abdulai, CSIR-SARI",CSIR-Crops Research Institute,Type of variety: OPV; Maturity: 110 days; Potential yield (tons/ha): 5.0; Seed colour: yellow; Days to 50% silk: 57; Plant height (cm): 189; Ear height (cm): 96; Tassel colour: cream purple shade; Tassel arrangement: Open and alternate; Silk colour: purple; Stem colour: Green with purple shade; Cob length (cm): 15.6; Cob diameter (cm): 3.4; Kernel depth (cm): 1.0; Kernel arrangement: straight; Kernel type: Flint,"Quality Protein Maize (QPM). Suitable for poultry and livestock production (increased growth, high carotene imparts yellow colour to egg yolk, reduction in fish meal when added to feed). Excellent for enhanced nutrition and health of humans.",Most suitable for the Forest and Forest Transition zones,OPV,2007,2015,COTTON,Gossypium hirsutum 81,11
Ghana Variety Release Catalogue,11,,,,,,,,,,COTTON,Gossypium hirsutum 81,11
CSIR-Enii-Pibi,GH/Zm/011/15,CSIR-CRI/ CIMMYT,"M.B. Ewool, P.Y.K Sallah, K. Obeng- Antwi, CSIR-CRI; G. Adu-Boakyewaa, M.S. Abdulai, CSIR-SARI",CSIR-Crops Research Institute,Type of variety: three way cross hybrid; Maturity: 110 days; Potential yield (tons/ha): 5.5; Seed colour: White; Days to 50% silk: 54; Plant height (cm): 181; Ear height (cm): 92; Tassel colour: Cream purple; Tassel arrangement: Open and alternate; Silk colour: purple; Stem colour: Green; Cob length (cm): 15.1; Cob diameter (cm): 4.9; Kernel depth (cm): 1.5; Kernel arrangement: straight; Kernel type: Flint,High Quality Protein Maize (QPM). yield of about 5.5t/ha. Yield is about 5.5t/ha.,Most suitable for Forest and Forest transition zones,Hybrid,2010,2015,COTTON,Gossypium hirsutum 81,12
CSIR- Aburohema,GH/Zm/013/15,CSIR-CRI/ IITA,"M.B. Ewool, P.Y.K Sallah, K. Obeng- Antwi, CSIR-CRI; G. Adu-Boakyewaa, M.S. Abdulai, CSIR-SARI",CSIR-Crops Research Institute,Type of variety: OPV; Maturity: 90days; Potential yield (tons/ ha): 5.0; Seed colour: White; Days to 50% silk: 54; Plant height (cm): 164; Ear height (cm): 83; Tassel colour: cream purple shade; Tassel arrangement: Open and alternate; Silk colour: purple; Stem colour: Green with purple shade; Cob length (cm): 12.7; Cob diameter (cm): 4.2; Kernel depth (cm): 1.5; Kernel arrangement: straight; Kernel type: Flint/dent,QPM white. Yield is about 5.5t/ha.,Most suitable for the Forest and Sudan savannah zones,OPV,2010,2015,COTTON,Gossypium hirsutum 81,12
CSIR-CRI $p1aburo,GH/Zm/015/15,Landrace/ Ghana,Manfred Ewool et al./ CSIR-CRI,CSIR-Crops Research Institute,Type of variety: Top cross hybrid; Maturity: 110-115 days; Potential yield (tons/ ha): 7.5; Seed colour: White; Days to 50% silk: 56; Plant height (cm): 180; Ear height (cm): 90; Tassel colour: Cream with purple shade; Tassel arrangement: Mid-Open and alternate; Silk colour: Cream purple; Stem colour: Green with purple shade; Cob length (cm): 16.7; Cob diameter (cm): 4.9; Kernel depth (cm): 0.9; Kernel arrangement: straight; Kernel type: Flint,Moderately tolerant to drought; Very good for domestic purposes; Moisture %: 11.1; Protein %: 9.5; Fibre %: 1.4; Fat%: 4.8; Ash%: 1.5; Carbohydrate%:74.6; Water binding capacity%: 307.9; Solubility%: 16.9; Swelling power%: 8.9,Forest and Forest Transition,DT-SR-W C0/1/1368x ICAL 224-1x1368-3- 1-B-B-B-B-B-B,2012,2015,COTTON,Gossypium hirsutum 81,13
CSIR-Sanzal- sima,GH/Zm/017/15,CSIR-SARI/ IITA,"M.S. Abdulai, A. Haruna, G. B. Adu,CSIR-SARI; K. Obeng-Antwi, M. B. Ewool, CSIR-CRI",CSIR-Savanna Agricultural Research Institute,Days to 50% Anthesis: 60; Days to 50% silking: 61; Days to physiological maturity: 110 days; Silk colour: predominantly cream with light purple shade; Plant height: 167 cm; Ear height: 77 cm; Tassel shape: Mid Open and alternate; Tassel colour: predominantly Purple Grain colour: White; Grain type: Flint-Dent,"Potential yield: 5.4 t/ha; Medium maturity; drought tolerant; tolerant to lodging; tolerant to rust, blight; streak and curvularia; Ash: 2.0 %; Fat: 1.9 %; Protein: 13.0%; Carbohydrate: 71.3%;","Guinea savannah, Sudan savannah, Forest- savannah transition and Forest",DT SYN 1 W,2012,2015,COTTON,Gossypium hirsutum 81,13
Ghana Variety Release Catalogue,13,,,,,,,,,,COTTON,Gossypium hirsutum 81,13
CSIR-Ewul-boyu,GH/Zm/018/15,CSIR-SARI/ IITA,"M.S. Abdulai, A. Haruna, G. B. Adu,CSIR-SARI; K. Obeng-Antwi, M. B. Ewool, CSIR-CRI",CSIR-Savanna Agricultural Research Institute,Days to 50% Anthesis: 60; Days to 50% silking: 62; Days to physiological maturity: 110 days; Silk colour: predominantly cream; Plant height: 163 cm; Ear height: 70 cm; Tassel shape: Mid Open and alternate; Tassel colour: predominantly cream; Grain colour: White; Grain type: Flint-Dent,"Potential yield: 5.6 t/ha; Medium maturity, drought tolerant; tolerant to lodging, tolerant to rust, blight, streak and curvularia; Ash: 1.2 %; Fat: 4.1 %; Protein: 12.8%; Carbohydrate: 70.5%","Guinea savannah, Sudan savannah, Forest- savannah transition and Forest",IWD C3 SYN F2,2012,2015,COTTON,Gossypium hirsutum 81,14
CSIR-Bihilifa,GH/Zm/020/15,CSIR-SARI/ IITA,"M.S. Abdulai, A. Haruna, G. B. Adu,CSIR-SARI; K. Obeng-Antwi, M. B. Ewool, CSIR-CRI",CSIR-Savanna Agricultural Research Institute,Days to 50% Anthesis: 52; Days to 50% silking: 55; Days to physiological maturity: 90; Silk colour: predominantly purple; Plant height: 165 cm; Ear height: 78 cm; Tassel shape: Mid Open and alternate; Tassel colour: predominantly purple; Grain colour: Yellow; Grain type: Flint-Dent,"Potential yield: 4.6 t/ha; Early maturity, Striga and drought tolerant; tolerant to lodging, tolerant to rust, blight, streak and curvularia; Ash: 2.9 %; Fat: 4.4 %; Protein: 11.1%; Carbohydrate: 62.2%","Most suitable for the striga hermonthica infested fields of the Guinea and Sudan savanna, and Forest- savannah transition",TZE-Y DT STR C4,2012,2015,COTTON,Gossypium hirsutum 81,14
CSIR Sika Aburo,GH/Zm/022/15,Pannar/ CSIR-SARI,"M.S. Abdulai, A. Haruna, G. B. Adu, CSIR-SARI; K. Obeng- Antwi, M. B. Ewool, CSIR-CRI",CSIR- Savanna Agricultural Research Institute,"Days to 50% Anthesis (56); Days to 50% silking (57); maturity (105-110 days), Silk colour (Purple with cream at base); Plant height (229 cm), ear height: 102cm; leaf number: 14; Tassel colour: cream with purple shade; Seed colour: purple with cream base; Tassel shape: open and alternate; cop length: 21.1; cop diameter: 4.8; Kernel type: (Flint/Dent)",High yielding; Ash: 1.4 %; Fat: 4.8 %; Protein: 8.6%; Carbohydrate: 74.2%; Fibre: 2.2%,All agro- ecologies in Ghana,A19XA45/A55,2015,2015,COTTON,Gossypium hirsutum 81,14
CSIR-Kunjor Wari,GH/Zm/023/15,CSIR-SARI/ IITA,"A. Haruna, M.S. Abdulai, G. B. Adu, CSIR-SARI; K. Obeng- Antwi, Manfred Ewool, CSIR-CRI",CSIR- Savanna Agricultural Research Institute,Days to 50% Anthesis: 48; Days to 50% silking: 50; Days to physiological maturity: 90 days; Silk colour: cream with purple shade; Plant height: 175 cm; Ear height: 78 cm; Tassel shape: Open and alternate; Tassel colour: purple; Grain colour: Yellow; Grain type: Flint-dent,"Potential yield: 5.7 t/ ha; Top-cross hybrid; Early maturity, drought and Striga tolerant; good for poultry feed; tolerant to lodging, rust, blight, streak and curvularia; Ash: 2.9 %; Fat: 4.4 %; Protein: 12.1%; Carbohydrate: 62.2%","Guinea savannah, Sudan savannah, Forest- savannah transition and Forest",TZE-Y POP DT STR C4 x TZEI 17,2015,2015,COTTON,Gossypium hirsutum 81,15
CSIR- Warikamana,GH/Zm/025/15,CSIR-SARI/ IITA,"A. Haruna, M.S. Abdulai, G. B. Adu, CSIR-SARI; K. Obeng- Antwi, Manfred Ewool, CSIR-CRI",CSIR- Savanna Agricultural Research Institute,Days to 50% Anthesis: 59; Days to 50% silking: 61; Days to physiological maturity: 110 days; Silk colour: cream with light purple shade; Plant height: 190 cm; Ear height: 95 cm; Tassel shape: Open and alternate; Tassel colour: Purple Grain colour: White; Grain type: Flint-Dent,"Potential yield: 6.9 t/ha; Medium maturity, drought/ striga tolerant; tolerant to lodging, tolerant to rust, blight, streak and curvularia; Ash: 2.0 %; Fat: 1.9 %; Protein: 10.0%; Carbohydrate: 71.3%","Guinea savannah, Sudan savannah, Forest- savannah transition and Forest",M1126-2,2015,2015,COTTON,Gossypium hirsutum 81,15
Ghana Variety Release Catalogue,15,,,,,,,,,,COTTON,Gossypium hirsutum 81,15
CRI Obotantim,GH/Zm/002/16,CSIR-CRI/ IITA,"K. Obeng-Antwi, M. B. Ewool, M. Tengan, A. Oppong, CSIR-CRI; M. S. Abdullai, A. Haruna, G. B. Adu, CSIR-SARI;",CSIR-Crops Research Institute,Single cross hybrid; Seed colour: White; Days to 50% silk: 50; Plant height (cm): 198; Ear height (cm): 102; Tassel colour: Purple cream; Tassel arrangement: Mid-Open; Silk colour: Purple; Stem colour: Green with intense Anthocyanin coloration; Cob length (cm): 17.1,"Drought tolerant,suitable for human, poultry and livestock consumption Maturity: 80-85 days; Potential yield (tons/ha): 6.5; Excellent for industrial preparations such as grits; Very good for domestic purposes; Moisture %: 10.9;Protein %: 12.3; Fibre %:2.2; Fat%: 5.5; Ash%:0.7; Carbohydrate%:68.4; Water binding capacity%:79.7","Forest, Forest Transition & Guinea Savannah",TZEE-W Pop x LD S6 (Set A) Inb. 44) X (TZEE-W SR BC5 x 1368 STR S6 Inb. 229B,2015,2016,COTTON,Gossypium hirsutum 81,16
CRI Aho4f1,GH/Zm/005/16,CSIR-CRI/ IITA,"M. B. Ewool, K. Obeng-Antwi, M. Tengan, A. Oppong, CSIR-CRI; M. S. Abdullai, A. Haruna, G. B. Adu, CSIR-SARI",CSIR-Crops Research Institute,Three way cross hybrid; Seed colour: Orange; Days to 50% silk: 58; Plant height (cm): 178; Ear height (cm): 85; Tassel colour: Cream; Tassel arrangement: Mid-open and alternate; Silk colour: Cream purple; Stem colour: Green with purple shade; Cob length (cm): 16.4; Cob diameter (cm): 4.9; Kernel depth (cm): 0.9; Kernel arrangement : Straight; Kernel type: Flint,"Source of Pro-vitamin A for improved nutrition and health Suitable for human, poultry and livestock consumption. Maturity: 110-115 days; Potential yield (tons/ ha): 6.0; Excellent for industrial preparations such as grits and kenkey; Moisture %: 11.1; Protein %: 12.1; Fibre %: 2.2; Fat%: 3.8; Ash%: 1.3; Carbohydrate%: 69.6; Water binding capacity%: 74.9, Solubility%:18.3; Swelling power%:9.9; Pro-vitamin A (µg/g): 9.2","Forest, Forest Transition & Guinea Savannah",(KU1409/ KU1414-SR/ KV13) -S2-5- 1-BBB/9450x K121-3-1- 1- 2-1-B*5/ (Pop66SR/ ACR91 Suwan1- SRC1/ ACR91Suwan1- SRC1- 6X(MP420x 4001x MP420) -3-1-3-1-B) S2-5-B*-5,2015,2016,COTTON,Gossypium hirsutum 81,17
Ghana Variety Release Catalogue,17,,,,,,,,,,COTTON,Gossypium hirsutum 81,17
"SC719, Gyemedi",GH/Zm/008/16,SeedCo International,"E. Tembo, SEEDCo; K. Obeng-Antwi, A. Oppong. P. F Ribeiro, M. B. Ewool, CSIR- CRI; A. Haruna, G. B. Adu, CSIR-SARI.",CSIR-Crops Research Institute,"Stem anthocyanin coloration of internodes: Green; Leaf habit: slightly recurved; Plant height: 210 cm; Ear height: 100 cm; Tassel colour: Medium anthocyanin; Grain type: Semi dent; Grain colour: White; Non tillering, plant height (210 cm), medium ear placement, excellent husk cover, pointed leaf tip, clear brace roots.","Days to Maturity: 115 - 120 days; Potential Grain yield: 12.8 t/ha; Pest/ Disease Tolerance: Tolerant to rust (Puccinia polysora), southern leaf blight (E. turcicum), Grey Leaf spot, Maize Streak Virus (MSV); High grain yield, large grain size; Nutrient Content: Oil 3.56%, Starch 55.99%, Protein 8.44%, Fibre 3.29%; Very good for Ga Kenkey, and good for Fanta Kenkey and Banku",Southern Guinea Savannah and Northern Guinea Savannah.,Proprietory,2016,2016,COTTON,Gossypium hirsutum 81,18
CSIR-CRI ɔdomfo,GH/Zm/003/19,IITA,"M. B. Ewool, K. Obeng-Antwi, M. Tengan, F. C. Danso, CSIR-CRI; A. Haruna, A. S. Mashark, CSIR-SARI",CSIR-Crops Research Institute,Seed colour: Orange; Days to 50% silk: 57; Plant height (cm): 181; Ear height (cm): 105; Tassel colour:Cream; Tassel arrangement:Mid- Open and alternate; Silk colour: Cream Purple; Stem colour: Green with purple; Cob length (cm): 16.4; Cob diameter (cm): 4.9; Kernel depth (cm): 0.9; Kernel arrangement: Straight; Kernel type: Flint,"Potential orange maize for improved nutrition and health; Suitable for human, poultry and livestockconsumption; Maturity: 110-115 days; Potentialyield (tons/ha): 6.5; Excellent for industrial preparations such as grits and kenkey; Moisture %: 14.3; Protein %: 13.0; Fibre %: 1.3; Fa t%: 4.4; Ash %: 1.3; Carbohydrate %: 68.1; Water binding capacity %: 316.0; Solubility %: 17.1; Swelling power %: 9.8; Pro-vitamin A (µg/g): 6.0","Forest, Forest Transition & Guinea Savannah",Single cross hybrid,2012,2019,COTTON,Gossypium hirsutum 81,19
Ghana Variety Release Catalogue,19,,,,,,,,,,COTTON,Gossypium hirsutum 81,19
Aburo Legon,GH/Zm/006/19,CIMMYT/ IITA/IRAD,"P. B. Tongoona, B. E. Ifie, E. Y. Danquah University of Ghana - WACCI",WACCI-UG,Type of variety: single-cross; Anthocyanin intensity of silks: medium; Ear /cob length: 22 cm; Ear-cob diameter: 16 cm; Number of rows of grains: 14; Days to 50% anthesis: 50;Days to 50% silking: 52; Days to maturity: 95; Plant height: 189 cm; Ear height: 100 cm; Ear type: flint; Ear shape: conico-cylindrical Kernel type: white,"Potential yield: 10 t/ha; Early maturing, Fairly resistant to maize streak virus disease (MSVD), Moisture: 8.7%; Ash: 1.32%; Fat: 4.3%; Protein: 12.6%; Carbohydrate including fibre: 73.08%Energy: 381.42 cal/100g Suitable for food, feed and industrial purposes","Coastal savannah, Transitional and Guinea savannah",WACCI- M-1210,2019,2019,COTTON,Gossypium hirsutum 81,20
CSIR SARIMAZ 1,GH/Zm/009/19,CSIR-SARI/ CIMMYT,"A. Haruna, G. B. Adu, M. S. Abdulai CSIR-SARI",CSIR-Savanna Agricultural Research Institute,Days to 50% Anthesis: 59; Days to 50% silking: 61; Silk colour: Purple with cream base; Plant height: 178 cm; Ear height: 86 cm; Tassel colour: purple shade; Tassel shape: Open and alternate; Grain colour: White; Kernel type : Intermediate (Flint-Dent),"Three-way hybrid; Potential yield: 8.5 t/ha. Days to physiological maturity:110(medium); Tolerant to lodging; Tolerant to rust, blight, streak and curvularia leaf spot diseases; Ash: 1.4%; Fat: 1.1 %; Protein: 10.9%; Carbohydrate: 80.0%; Fibre: 2.3%","Guinea Savannah, Coastal Savannah, and Forest- Savannah Transition",MH1466,2019,2019,COTTON,Gossypium hirsutum 81,21
CSIR-Denbea,GH/Zm/011/19,CSIR-SARI/ IITA,"G. B. Adu, A. Haruna, M. S. Abdulai, CSIR-SARI; K. Obeng- Antwi, A. Oppong, P. Francisco-Ribeiro, CSIR-CRI",CSIR-Savanna Agricultural Research Institute,Days to 50 % Anthesis: 54; Days to 50 % silking: 56; Silk colour: Purple with cream base; Plant height: 187 cm; Ear height: 69.4 cm; Tassel shape: Open and alternate; Grain colour: Yellow; Kernel type: Intermediate (Flint-Dent),"Potential yield: 6 t/ha; Extra-early maturing; fairly resistant to maize streak virus disease (MSVD); Moisture: 9.5%; Ash: 11.34%; Fat: 5.1%; Protein: 12.46%; Carbohydrate including Fibre: 73.08%; Energy: 382.14 cal/100g; Suitable for food, feed and industrial purposes","Guinea, Sudan, and Coastal Savannah, Forest- Savannah Transition, Forest",EYH-29,2019,2019,COTTON,Gossypium hirsutum 81,21
Ghana Variety Release Catalogue,21,,,,,,,,,,COTTON,Gossypium hirsutum 81,21
CSIR-Kum- Naaya,GH/Zm/012/19,CSIR-SARI/ IITA,"G. B. Adu, A. Haruna, M. S. Abdulai, CSIR-SARI; K. Obeng- Antwi, A. Oppong, P. Francisco-Ribeiro, CSIR-CRI",CSIR-Savanna Agricultural Research Institute,Days to 50% Anthesis: 47; Days to 50% silking: 49; Silk colour: Purple with cream base; Plant height: 150 cm; Ear height: 77 cm; Tassel shape: Open and alternate; Grain colour: White; Kernel type: Intermediate (Flint-Dent),"Top-cross hybrid; Potential yield: 5.5 t/ha; Days tophysiological maturity: 85 (Extra- early); Tolerant to drought and Striga; Tolerant to lodging; Tolerant torust, blight, streak and curvularia leaf spot diseases; Ash: 1.1 %; Fat: 3.0 %; Protein: 9.4%; carbohydrate:73.0%; Fibre: 1.0%","Guinea, Sudan, and Coastal Savannah, Forest- Savannah Transition, Forest",EEWH-17,2019,2019,COTTON,Gossypium hirsutum 81,22
CSIR-Similenu,GH/Zm/014/19,CSIR-SARI/ IITA,"G. B. Adu, A. Haruna, M. S. Abdulai, CSIR-SARI; K. Obeng- Antwi, A. Oppong, P. Francisco-Ribeiro, CSIR-CRI",CSIR-Savanna Agricultural Research Institute,Days to 50 % Anthesis: 51; Days to 50 % silking: 53; Silk colour: Purple with cream base; Plant height: 180 cm; Ear height: 83.0 cm; Tassel shape: Open and alternate; Grain colour: White; Kernel type: Intermediate (Flint-Dent),"Single cross hybrids; Potential yield: 6.0 t/ha; Days tophysiological maturity: 90; Drought and strigatolerant; Tolerant to lodging; Tolerant to rust, blight, streak and curvularia leaf spot diseases; Ash: 1.1 %;Fat: 4.2 %; Protein: 9.5%; Carbohydrate: 74.2%; Fibre: 1.9%;rust, blight, streak and curvularia leaf spotdiseases; Ash: 1.1 %; Fat: 4.2 %; Protein: 9.5%; Carbohydrate: 74.2%; Fibre: 1.9%","Guinea, Sudan, and Coastal Savannah, Forest- Savannah Transition, Forest",EWH-29,2019,2019,COTTON,Gossypium hirsutum 81,22
CRI-Nkomo,GH/Zm/015/19,CSIR-CRI/ CIMMYT,"A. Oppong, M. B Ewool, P. F. Ribeiro, F. C. Danso",CSIR-Crops Research Institute,Type of variety: Single cross hybrid; Leaf orientation: Pendant; Days to 50% pollination: 51; Days to 50% silking: 54; Plant height: 179cm; Ear height: 98cm; Kernel colour: White; Tassel colour: Cream;Silk colour: Pink; Stem colour: Green; Kernel type: Semi-dent; Kernel row arrangement: Regular,"Potential Yield : 6.5 t/ha; Maturity: intermediate maturing; (100 - 105 days after planting); MSVD: highly tolerant; Suitable for Human, poultry and livestock consumption; Excellent for industrial preparations: grits; Fat content: 7%; Carbohydrate content: 64.77%; Protein content: 13.75%; Fibre content: 1.78%; Ash content: 2.0%; Moisture content: 12.20%; Starch content: 7.9%; Solubility: 1.76%; Swelling power: 4.59%; Water binding capacity: 300%.","Forest, Transition, Coastal Savannah, Guinea Savannah and Sudan Savannah",LA03x CML202,2019,2019,COTTON,Gossypium hirsutum 81,23
Ghana Variety Release Catalogue,23,,,,,,,,,,COTTON,Gossypium hirsutum 81,23
CRI-Nkwagye,GH/Zm/018/19,CSIR-CRI/ IITA,"M. B. Ewool, A. Oppong, P. F. Ribeiro, F. C. Danso; CSIR- CRI; A. Haruna, G. B. Adu, CSIR-SARI",CSIR-Crops Research Institute,Type of variety: Three way cross hybrid; Seed colour: Orange; Days to 50% silk: 58; Plant height: 167 cm; Ear height: 90 cm; Tassel colour: Cream; Tassel arrangement: Open and alternate; Silk colour: Cream with light purple base; Stem colour: Green with no Anthocyanin; Kernel arrangement: Straight; Kernel type: Flint.,"Potential Yield: 6.0t/ ha; Maturity: 110-115 days; Source of Provitamin A; Suitable for Human, poultry and livestock consumption; Excellent for industrial preparation: grits; Provitamin A content: 15.0 µg/g; Moisture content: 11.7%;Protein: 8.7%; Fibre: 2.1%;Fat: 6.3%; Ash: 1.9%; Carbohydrate: 69.4%; Starch: 3.7%; Water binding capacity: 445.0%; Solubility: 4.5%; Swelling power: 6.0%;Pro-vitamin A content: 15.0 µg/g",All major agro- ecological zones,LY 1501-5,2019,2019,COTTON,Gossypium hirsutum 81,24
CRI-Abebe,GH/Zm/019/19,CSIR-CRI/ IITA,"M. B. Ewool, A. Oppong, P. F. Ribeiro, F. C. Danso, CSIR- CRI; A. Haruna, G. B. Adu, CSIR-SARI;",CSIR-Crops Research Institute,Type of variety: Single cross hybrid; Grain colour: Orange; Days to 50% silk: 58; Plant height: 175 cm; Ear height: 95 cm; Tassel colour: Cream; Tassel arrangement: Open and alternate; Silk colour: Cream with light purple base; Stem colour: Green with no anthocyanin; Kernel arrangement : Straight; Kernel type: Flint,"Potential yield : 6.3 t/ ha; Maturity: 110-115 days; Source of Pro- vitamin A; Suitable for: Human, poultry and livestock consumption; Excellent for industrial preparation: grits; Pro- vitamin A content: 14.0 µg/g; Moisture :10.2%; Protein: 12.0%Fibre: 2.2%; Fat: 6.0% Ash: 2.6%; Carbohydrate: 67.0%; Starch: 24.2%; Water binding capacity: 183.3%; Solubility: 3.0%; Swelling power: 5.3%; Pro-vitamin A content: 14.0 µg/g",All major agro- ecological zones,LY 1501-9,2019,2019,COTTON,Gossypium hirsutum 81,25
Ghana Variety Release Catalogue,25,,,,,,,,,,COTTON,Gossypium hirsutum 81,25
PEARL MILLET,,,,,,,,,,,COTTON,Gossypium hirsutum 81,26
SPECIES: Pennisetum glaucum (L.) R. Br.,,,,,,,,,,,COTTON,Gossypium hirsutum 81,26
Akad-kom,GH/Pg/001/15,Landrace/ Ghana,"D. Afribeh, P. A. Asungre, R.A.L Kanton, S.K. Nutsugah; CSIR- SARI",CSIR-Savanna Agricultural Research Institute,Panicle length: Very short (<15cm); Seed colour: Grey; Panicle density: Compact; Panicle Shape: Globose; Pysiological maturity: 70 days after sowing.,Potential yield: 2.0 tons/ha; Drought tolerant; Average Protien content: 9.35g/100g; Average Energy Content: 370 kcal; Average Carbohydrate: 74.87; Excellent for porridge and Foroforo; Rich in grain Fe and Zn; Tolerant to Downy mildew disease,Guinea and Sudan savannahs,OPV (Bongo Short-Head),2015,2015,COTTON,Gossypium hirsutum 81,27
Naad- kohblug,GH/Pg/003/15,Landrace/ Ghana,"D. Afribeh, P. A. Asungre, R.A.L Kanton, S.K. Nutsugah; CSIR- SARI",CSIR-Savanna Agricultural Research Institute,Average Panicle length: 31 cm; Seed colour: Deep grey; Panicle density: Loose; Panicle Shape: Candle; Pysiological maturity : 75 days after sowing; Presence of Bristles on panicles.,Potential yield: 2.0 tons/ha.; Average Protien content: 11g/100g; Average Energy Content: 370 kcal; Average Carbohydrate: 74; Rich in grain Fe and Zn; Drought tolerant; Tolerant to bird and insect damage; Tolerant to Downy mildew disease; Excellent for Porridge and Foroforo.,Guinea and Sudan savannahs,OPV (Bristled Head),2015,2015,COTTON,Gossypium hirsutum 81,27
Afribeh Naara,GH/Pg/005/15,Landrace/ Ghana,"D. Afribeh, P. A. Asungre, R.A.L Kanton, S.K. Nutsugah; CSIR- SARI",CSIR-Savanna Agricultural Research Institute,Average Panicle length: 21 cm; Seed colour: Yellow; Panicle density: Semi-compact; Panicle Shape: Cylindrical; Pysiological maturity : 70 days after sowing.,Potential yield: 1.90 tons/ha.; Average Protien content: 9g/100g; Average Energy Content: 370 kcal; Carbohydrate: 75; Rich in grain Fe and Zn; Excellent for Foroforo; Tolerant to Downy mildew disease.,Guinea and Sudan savannahs,OPV (Tongo Yellow),2015,2015,COTTON,Gossypium hirsutum 81,27
Ghana Variety Release Catalogue,27,,,,,,,,,,COTTON,Gossypium hirsutum 81,27
RICE,,,,,,,,,,,COTTON,Gossypium hirsutum 81,28
SPECIES: Oryza sativa L.,,,,,,,,,,,COTTON,Gossypium hirsutum 81,28
FARO 15,GH/Os/001/15,IRRI,MoFA/Ghana German Agricultural Development Project,CSIR- Savanna Agricultural Research Institute,"Maturity period 145-150 days. Long and bold grain, non-aromatic.","Yield potential of 5.0 MT/ha. The most preferredvariety for the deep lowlands. Milling rate 65%. Average cooking quality. Preferred by artisanal processors due to high milling rate. Good forWaakye, Jollof and Omutuo. Good resistance to common pests and diseases",Deep lowland,Pure line Introduced from Nigeria with a name FARO 15,1980,2015,COTTON,Gossypium hirsutum 81,29
